timestamp_et,market_title,outcome,side,size,price
2026-01-02 10:23:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,29,0.7
2026-01-02 10:26:03,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,6.18,0.76
2026-01-02 10:26:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,25,0.28
2026-01-02 10:26:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,25,0.284
2026-01-02 10:26:09,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,25,0.29
2026-01-02 10:26:25,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.7
2026-01-02 10:26:25,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.7
2026-01-02 10:26:25,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.7
2026-01-02 10:26:25,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.7
2026-01-02 10:26:25,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.7
2026-01-02 10:26:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.7
2026-01-02 10:26:27,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,24,0.66
2026-01-02 10:26:35,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,24,0.37
2026-01-02 10:26:39,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,24,0.42
2026-01-02 10:26:41,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,24,0.42
2026-01-02 10:26:47,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,23,0.68
2026-01-02 10:26:49,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,24,0.41
2026-01-02 10:26:49,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,3.47,0.67
2026-01-02 10:26:51,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,23,0.68
2026-01-02 10:26:53,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,23,0.66
2026-01-02 10:27:05,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,10,0.32
2026-01-02 10:27:07,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,10,0.69
2026-01-02 10:27:11,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,14.25,0.61
2026-01-02 10:27:11,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,22,0.61
2026-01-02 10:27:13,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,22,0.42
2026-01-02 10:27:13,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,8,0.42
2026-01-02 10:27:15,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,22,0.43
2026-01-02 10:27:15,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,22,0.43
2026-01-02 10:27:19,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,22,0.67
2026-01-02 10:27:19,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,22,0.67
2026-01-02 10:27:21,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,22,0.67
2026-01-02 10:27:53,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,15,0.26
2026-01-02 10:28:31,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,19,0.75
2026-01-02 10:28:31,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Down,BUY,19,0.75
2026-01-02 10:29:17,"Bitcoin Up or Down - January 2, 10:15AM-10:30AM ET",Up,BUY,17,0.28
2026-01-02 10:30:17,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,30,0.47
2026-01-02 10:30:17,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,9,0.47
2026-01-02 10:30:19,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Up,BUY,8.09,0.5
2026-01-02 10:30:25,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,19,0.52
2026-01-02 10:30:27,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.52
2026-01-02 10:30:29,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,30,0.52
2026-01-02 10:30:29,"Bitcoin Up or Down - January 2, 10:30AM-10:45AM ET",Down,BUY,6,0.52
